,Pred_Pollutant
2020-06-09 01:00:00,1.4232829019685918e-39
2020-06-09 02:00:00,1.3858728306494927e-39
2020-06-09 03:00:00,1.3494460588797411e-39
2020-06-09 04:00:00,1.3139767412661139e-39
2020-06-09 05:00:00,1.2794397117448472e-39
2020-06-09 06:00:00,1.2458104657259002e-39
2020-06-09 07:00:00,1.2130651427065458e-39
2020-06-09 08:00:00,1.1811805093419511e-39
2020-06-09 09:00:00,1.1501339429607388e-39
2020-06-09 10:00:00,1.1199034155138292e-39
2020-06-09 11:00:00,1.0904674779451783e-39
2020-06-09 12:00:00,1.0618052449733191e-39
2020-06-09 13:00:00,1.0338963802729112e-39
2020-06-09 14:00:00,1.0067210820457838e-39
2020-06-09 15:00:00,9.802600689712343e-40
2020-06-09 16:00:00,9.544945665256153e-40
2020-06-09 17:00:00,9.29406293661501e-40
2020-06-09 18:00:00,9.049774498369834e-40
2020-06-09 19:00:00,8.811907023858957e-40
2020-06-09 20:00:00,8.5802917422e-40
2020-06-09 21:00:00,8.354764318544164e-40
2020-06-09 22:00:00,8.135164737477953e-40
2020-06-09 23:00:00,7.92133718948961e-40
2020-06-10 00:00:00,7.713129960419715e-40
2020-06-10 01:00:00,7.510395323817476e-40
2020-06-10 02:00:00,7.312989436126402e-40
2020-06-10 03:00:00,7.120772234624921e-40
2020-06-10 04:00:00,6.933607338049595e-40
2020-06-10 05:00:00,6.751361949830358e-40
2020-06-10 06:00:00,6.573906763869176e-40
2020-06-10 07:00:00,6.401115872795237e-40
2020-06-10 08:00:00,6.232866678631607e-40
2020-06-10 09:00:00,6.069039805809951e-40
2020-06-10 10:00:00,5.909519016471603e-40
2020-06-10 11:00:00,5.754191127994899e-40
2020-06-10 12:00:00,5.602945932690242e-40
2020-06-10 13:00:00,5.455676119605939e-40
2020-06-10 14:00:00,5.312277198389314e-40
2020-06-10 15:00:00,5.172647425149085e-40
2020-06-10 16:00:00,5.0366877302664055e-40
2020-06-10 17:00:00,4.9043016481033396e-40
2020-06-10 18:00:00,4.775395248558907e-40
2020-06-10 19:00:00,4.649877070424129e-40
2020-06-10 20:00:00,4.527658056488804e-40
2020-06-10 21:00:00,4.408651490353944e-40
2020-06-10 22:00:00,4.292772934905075e-40
2020-06-10 23:00:00,4.179940172402709e-40
2020-06-11 00:00:00,4.0700731461475136e-40
2020-06-11 01:00:00,3.9630939036787596e-40
2020-06-11 02:00:00,3.858926541465776e-40
2020-06-11 03:00:00,3.757497151053142e-40
2020-06-11 04:00:00,3.6587337666214273e-40
2020-06-11 05:00:00,3.562566313926259e-40
2020-06-11 06:00:00,3.468926560579497e-40
2020-06-11 07:00:00,3.377748067637227e-40
2020-06-11 08:00:00,3.2889661424602422e-40
2020-06-11 09:00:00,3.2025177928135495e-40
2020-06-11 10:00:00,3.118341682172347e-40
2020-06-11 11:00:00,3.0363780862027503e-40
2020-06-11 12:00:00,2.9565688503863965e-40
2020-06-11 13:00:00,2.8788573487588564e-40
2020-06-11 14:00:00,2.803188443732583e-40
2020-06-11 15:00:00,2.729508446975884e-40
2020-06-11 16:00:00,2.657765081320174e-40
2020-06-11 17:00:00,2.5879074436684607e-40
2020-06-11 18:00:00,2.519885968878762e-40
2020-06-11 19:00:00,2.453652394596822e-40
2020-06-11 20:00:00,2.389159727013178e-40
2020-06-11 21:00:00,2.3263622075202786e-40
2020-06-11 22:00:00,2.2652152802460042e-40
2020-06-11 23:00:00,2.2056755604405398e-40
2020-06-12 00:00:00,2.1477008036941847e-40
2020-06-12 01:00:00,2.0912498759642463e-40
2020-06-12 02:00:00,2.0362827243897622e-40
2020-06-12 03:00:00,1.982760348873337e-40
2020-06-12 04:00:00,1.9306447744099328e-40
2020-06-12 05:00:00,1.8798990241429794e-40
2020-06-12 06:00:00,1.8304870931286864e-40
2020-06-12 07:00:00,1.7823739227899436e-40
2020-06-12 08:00:00,1.7355253760416842e-40
2020-06-12 09:00:00,1.6899082130700614e-40
2020-06-12 10:00:00,1.6454900677482555e-40
2020-06-12 11:00:00,1.6022394246721745e-40
2020-06-12 12:00:00,1.5601255967997576e-40
2020-06-12 13:00:00,1.5191187036780137e-40
2020-06-12 14:00:00,1.479189650242349e-40
2020-06-12 15:00:00,1.4403101061731401e-40
2020-06-12 16:00:00,1.4024524857949072e-40
2020-06-12 17:00:00,1.3655899285038243e-40
2020-06-12 18:00:00,1.3296962797096792e-40
2020-06-12 19:00:00,1.2947460722787618e-40
2020-06-12 20:00:00,1.2607145084645139e-40
2020-06-12 21:00:00,1.2275774423131204e-40
2020-06-12 22:00:00,1.1953113625315586e-40
2020-06-12 23:00:00,1.1638933758059495e-40
2020-06-13 00:00:00,1.133301190558375e-40
2020-06-13 01:00:00,1.1035131011306383e-40
2020-06-13 02:00:00,1.0745079723837405e-40
2020-06-13 03:00:00,1.0462652247021535e-40
2020-06-13 04:00:00,1.0187648193922436e-40
2020-06-13 05:00:00,9.919872444644908e-41
2020-06-13 06:00:00,9.659135007894101e-41
2020-06-13 07:00:00,9.40525088617358e-41
2020-06-13 08:00:00,9.158039944526551e-41
2020-06-13 09:00:00,8.917326782727144e-41
2020-06-13 10:00:00,8.682940610831082e-41
2020-06-13 11:00:00,8.454715127997407e-41
2020-06-13 12:00:00,8.232488404495297e-41
2020-06-13 13:00:00,8.016102766812264e-41
2020-06-13 14:00:00,7.805404685782205e-41
2020-06-13 15:00:00,7.60024466765393e-41
2020-06-13 16:00:00,7.400477148022889e-41
2020-06-13 17:00:00,7.205960388550841e-41
2020-06-13 18:00:00,7.016556376400175e-41
2020-06-13 19:00:00,6.832130726311527e-41
2020-06-13 20:00:00,6.652552585255236e-41
2020-06-13 21:00:00,6.477694539588959e-41
2020-06-13 22:00:00,6.307432524655606e-41
2020-06-13 23:00:00,6.141645736757425e-41
2020-06-14 00:00:00,5.980216547443796e-41
2020-06-14 01:00:00,5.823030420051907e-41
2020-06-14 02:00:00,5.669975828441116e-41
2020-06-14 03:00:00,5.520944177863308e-41
2020-06-14 04:00:00,5.375829727913153e-41
2020-06-14 05:00:00,5.234529517503539e-41
2020-06-14 06:00:00,5.096943291812998e-41
2020-06-14 07:00:00,4.962973431153253e-41
2020-06-14 08:00:00,4.832524881706452e-41
2020-06-14 09:00:00,4.705505088082915e-41
2020-06-14 10:00:00,4.581823927651571e-41
2020-06-14 11:00:00,4.4613936465964655e-41
2020-06-14 12:00:00,4.3441287976539927e-41
2020-06-14 13:00:00,4.229946179486649e-41
2020-06-14 14:00:00,4.118764777650321e-41
2020-06-14 15:00:00,4.0105057071132025e-41
2020-06-14 16:00:00,3.9050921562855744e-41
2020-06-14 17:00:00,3.802449332520715e-41
2020-06-14 18:00:00,3.7025044090482897e-41
2020-06-14 19:00:00,3.605186473302559e-41
2020-06-14 20:00:00,3.510426476608749e-41
2020-06-14 21:00:00,3.41815718519188e-41
2020-06-14 22:00:00,3.3283131324733e-41
2020-06-14 23:00:00,3.2408305726210706e-41
2020-06-15 00:00:00,3.1556474353212534e-41
2020-06-15 01:00:00,3.072703281738e-41
2020-06-15 02:00:00,2.9919392616312054e-41
2020-06-15 03:00:00,2.9132980716012933e-41
2020-06-15 04:00:00,2.8367239144315164e-41
2020-06-15 05:00:00,2.762162459498911e-41
2020-06-15 06:00:00,2.6895608042258307e-41
2020-06-15 07:00:00,2.618867436544693e-41
2020-06-15 08:00:00,2.550032198349325e-41
2020-06-15 09:00:00,2.483006249906959e-41
2020-06-15 10:00:00,2.417742035205644e-41
2020-06-15 11:00:00,2.3541932482124695e-41
2020-06-15 12:00:00,2.2923148000186793e-41
2020-06-15 13:00:00,2.2320627868483435e-41
2020-06-15 14:00:00,2.1733944589079116e-41
2020-06-15 15:00:00,2.1162681900545292e-41
2020-06-15 16:00:00,2.0606434482616087e-41
2020-06-15 17:00:00,2.006480766860688e-41
2020-06-15 18:00:00,1.9537417165391827e-41
2020-06-15 19:00:00,1.9023888780741544e-41
2020-06-15 20:00:00,1.852385815782758e-41
2020-06-15 21:00:00,1.8036970516705266e-41
2020-06-15 22:00:00,1.7562880402591517e-41
2020-06-15 23:00:00,1.7101251440758979e-41
2020-06-16 00:00:00,1.6651756097872633e-41
2020-06-16 01:00:00,1.621407544959951e-41
2020-06-16 02:00:00,1.5787898954326642e-41
2020-06-16 03:00:00,1.5372924232826669e-41
2020-06-16 04:00:00,1.496885685371482e-41
2020-06-16 05:00:00,1.4575410124545008e-41
2020-06-16 06:00:00,1.4192304888396821e-41
2020-06-16 07:00:00,1.3819269325809107e-41
2020-06-16 08:00:00,1.345603876191959e-41
2020-06-16 09:00:00,1.310235547867371e-41
2020-06-16 10:00:00,1.2757968531969427e-41
2020-06-16 11:00:00,1.2422633573608257e-41
2020-06-16 12:00:00,1.209611267792621e-41
2020-06-16 13:00:00,1.1778174172981627e-41
2020-06-16 14:00:00,1.1468592476180115e-41
2020-06-16 15:00:00,1.1167147934220004e-41
2020-06-16 16:00:00,1.0873626667244704e-41
2020-06-16 17:00:00,1.058782041709145e-41
2020-06-16 18:00:00,1.0309526399528698e-41
2020-06-16 19:00:00,1.0038547160377397e-41
2020-06-16 20:00:00,9.77469043541398e-42
2020-06-16 21:00:00,9.517769013955759e-42
2020-06-16 22:00:00,9.267600606031853e-42
2020-06-16 23:00:00,9.024007713045471e-42
2020-06-17 00:00:00,8.786817501835736e-42
2020-06-17 01:00:00,8.555861682049714e-42
2020-06-17 02:00:00,8.330976386737643e-42
2020-06-17 03:00:00,8.112002056086642e-42
2020-06-17 04:00:00,7.8987833242104e-42
2020-06-17 05:00:00,7.691168908914526e-42
2020-06-17 06:00:00,7.489011504359348e-42
2020-06-17 07:00:00,7.292167676543995e-42
2020-06-17 08:00:00,7.100497761537623e-42
2020-06-17 09:00:00,6.913865766385552e-42
2020-06-17 10:00:00,6.732139272620036e-42
2020-06-17 11:00:00,6.555189342307177e-42
2020-06-17 12:00:00,6.382890426563353e-42
2020-06-17 13:00:00,6.215120276476212e-42
2020-06-17 14:00:00,6.051759856367065e-42
2020-06-17 15:00:00,5.892693259333112e-42
2020-06-17 16:00:00,5.737807625009591e-42
2020-06-17 17:00:00,5.5869930594934946e-42
2020-06-17 18:00:00,5.440142557372042e-42
2020-06-17 19:00:00,5.2971519258005764e-42
2020-06-17 20:00:00,5.1579197105760325e-42
2020-06-17 21:00:00,5.022347124153509e-42
2020-06-17 22:00:00,4.890337975554884e-42
2020-06-17 23:00:00,4.761798602119731e-42
2020-06-18 00:00:00,4.6366378030501316e-42
2020-06-18 01:00:00,4.514766774702201e-42
2020-06-18 02:00:00,4.3960990475784495e-42
2020-06-18 03:00:00,4.280550424976249e-42
2020-06-18 04:00:00,4.1680389232488894e-42
2020-06-18 05:00:00,4.058484713636833e-42
2020-06-18 06:00:00,3.951810065627901e-42
2020-06-18 07:00:00,3.8479392918061985e-42
